cohort,run_key,solution_id,is_representative,decision_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period,first_topology_time_period,global_supply_at_first_path,stocked_feasible_supplier_at_period_start
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,13,20.47375402466332,68.84017549561486,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,17,15.599050685457769,52.44965752046846,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,18,12.890882163676906,43.34381420094269,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,3,22,13.432515868033079,45.16498286484784,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,0,45.0,55.0,0.34810126582278483,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,1,0.0,21.125556501299798,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,2,0.0,20.761322768518767,0.364233732781031,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,6,18.172203690945125,80.82040572928246,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,10,14.580023891572253,64.84427901535453,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,13,19.96829359063156,88.80846908624642,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,17,15.213937973814524,67.66359549428299,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,18,12.572629297805058,55.916443498747746,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,4,22,13.100891033006953,58.265873897854796,0.4698860798214096,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,5,0,20.0,75.0,0.47468354430379744,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0006,False,9a38c8873ef14005,5,1,0.0,21.125556501299798,0.364233732781031,1,1,1043.1000000000001,True
