case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,algorithm,evaluations,termination_reason,saved_front_size,execution_front_size,representative_hash,representative_F1,representative_F2,representative_F3,final_total_satisfaction,final_min_satisfaction,zero_service_ratio,remaining_supply,hypervolume,igd
S025,corridor,transition,101,1060000,0,PR1_HT1_EC1,Full,S025@corridor@transition:i101:nsga2:s1060000:r0:PR1_HT1_EC1:85955ada0066,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,13,13,0547a617834a41d6,6.811851414014816,1381.5544924120095,-0.0,0.3404804628848799,0.0,0.3333333333333333,368.1638554217491,0.8128590080160949,0.019736127022327337
S025,corridor,transition,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@transition:i101:nsga2:s1060001:r1:PR0_HT1_EC1:ff8fa5c2dc8c,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,11,11,101258b2a0fcf51e,6.819450198209346,1242.6058387527426,-0.0,0.332881678690351,0.0,0.5,373.1638554217491,0.7494320001659011,0.064226215794602
S025,corridor,transition,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT0_EC1:7bff5436b0c7,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,17,16,144b581acdad7514,6.811851414014816,1381.5544924120095,-0.0,0.3404804628848799,0.0,0.3333333333333333,368.1638554217491,0.8169340936867945,0.009562721918117481
S025,corridor,transition,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC0:fcee649143dd,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,39,7,cde6c0b29343e286,6.8374734024631865,1206.9257661145189,-0.0,0.32556085844074956,0.0,0.3333333333333333,377.98095514598685,0.7220866682579201,0.07578387227104577
S025,corridor,transition,101,1060001,1,PR1_HT1_EC1,Full,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,79c24d8b68c20dd6cc4f88b5fd4815d867fd618cb4ef402aacd5d34ea36f9c84,nsga2,500,budget_exhausted,16,16,90ef2f3fe6865887,6.811851414014816,1381.5544924120095,-0.0,0.3404804628848799,0.0,0.3333333333333333,368.1638554217491,0.8182205366866854,0.0020654806659000757
S025,corridor,transition,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@transition:i102:nsga2:s1070000:r0:PR0_HT1_EC1:9d86b7f399ae,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,11,10,ec28acedbe95bb7e,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.4031967383316682,0.07832417467386377
S025,corridor,transition,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT0_EC1:0f8ad9cd5a7c,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,19,16,f8f445298b19c215,4.41475627668421,4308.805944621714,-0.8755301794452233,0.8999999999998975,0.8755301794452233,0.0,7.818812264304142e-11,0.41648580857576895,0.05646409890332173
S025,corridor,transition,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC0:8fbc426fe68e,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,50,48,0d9d3152bdf41867,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.45083319664043264,0.0050899914997345344
S025,corridor,transition,102,1070000,0,PR1_HT1_EC1,Full,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC1:53750258a23e,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,45,45,9c3658b2a0db775f,4.2033467442665,4335.258567662476,-0.8755301794452136,0.89999999999989,0.8755301794452136,0.0,8.404299478570465e-11,0.44941013616587333,0.00865140093437308
S025,corridor,transition,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@transition:i102:nsga2:s1070001:r1:PR0_HT1_EC1:fdeb76700c41,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,8,7,1ef01e5e00d2b089,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.39871217341821624,0.09346965512614726
S025,corridor,transition,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT0_EC1:55440403c437,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,20,16,2e46223950d8d453,4.396422619082056,4188.194043667476,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.42686524552556687,0.06468515774732798
S025,corridor,transition,102,1070001,1,PR1_HT1_EC0,No-EC,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC0:4fe4758377fe,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,42,42,bd0f9cccf9ba143f,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.45097692943506557,0.008542989881236099
S025,corridor,transition,102,1070001,1,PR1_HT1_EC1,Full,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC1:f7b5fefe44d6,99da49bc5facfcdb946cf238748a769dea3acd25be847396ffc15775a1845096,nsga2,500,budget_exhausted,44,44,c2a0702cdaeae475,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.0,1.2255441106390208e-10,0.4509775821275058,0.007541630519952362
