zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,model_id,solution_index,decision_hash,is_full_planning_model,planning_F1,planning_F2,planning_F3,execution_F1,execution_F2,execution_F3,execution_minus_planning_F1,execution_minus_planning_F2,execution_minus_planning_F3
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,33,f60a54597e571621,True,6.949298222046798,1819.7045172957608,-0.22099447513812154,6.949298222046798,1819.7045172957608,-0.22099447513812154,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,34,595252e33c3c5a1f,True,6.773533906523888,1876.6271992802517,-0.21367521367521367,6.773533906523888,1876.6271992802517,-0.21367521367521367,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,35,539c8197b9fe0771,True,6.9480269103416665,1839.9842324493438,-0.2094240837696335,6.9480269103416665,1839.9842324493438,-0.2094240837696335,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,36,24567b37e28cf5d0,True,7.057990332942086,1564.563440948735,-0.17094017094017094,7.057990332942086,1564.563440948735,-0.17094017094017094,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,37,cbb27857bdc123b1,True,6.967558687670083,1809.4756514664994,-0.15706806282722513,6.967558687670083,1809.4756514664994,-0.15706806282722513,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,38,535de3f5eb577447,True,7.056556000361754,1555.3219060043284,-0.1282051282051282,7.056556000361754,1555.3219060043284,-0.1282051282051282,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,39,76cc032ffa932694,True,7.299694189603029,497.23063206382767,-0.0,7.299694189603029,497.23063206382767,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,40,ff1ce977931c92f2,True,7.239198464605875,859.8638158283977,-0.0,7.239198464605875,859.8638158283977,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,41,4522d47e60b84822,True,7.234783420530259,877.7666034327184,-0.0,7.234783420530259,877.7666034327184,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,42,e72066cc89cbae38,True,7.273481869812727,744.1091496740238,-0.0,7.273481869812727,744.1091496740238,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,43,fa578f940c6f8fee,True,7.248167525088803,833.8813920139082,-0.0,7.248167525088803,833.8813920139082,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,44,1b56d233c7b46c81,True,7.241614445141227,851.6025974786835,-0.0,7.241614445141227,851.6025974786835,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,0,ec28acedbe95bb7e,False,4.721005461811413,3379.002190434665,-0.8755301794452158,4.390306411130979,4093.0598151529225,-0.8755301794452158,-0.33069905068043415,714.0576247182576,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,1,4c41b061ed00adfe,False,5.5048838007583205,3021.5112349976353,-0.7329842931937173,5.190415718365358,3445.4862932207698,-0.7853403141361257,-0.3144680823929624,423.9750582231345,-0.05235602094240843
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,2,60a7a71ada2129d6,False,5.424413063384044,2953.8747974467756,-0.7258064516129032,5.184052788449702,3368.1875074483582,-0.7661290322580645,-0.24036027493434187,414.3127100015827,-0.040322580645161255
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,3,52ef437ad6c398de,False,5.669043720861626,2924.261575483772,-0.5645161290322581,5.2798583583346925,3325.3417910280573,-0.6451612903225806,-0.38918536252693325,401.08021554428524,-0.08064516129032251
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,4,5463c3984578e4ce,False,6.550311645636121,2000.087875344111,-0.4435483870967742,6.259273794908312,2879.73606722791,-0.4032258064516129,-0.2910378507278093,879.6481918837992,0.04032258064516131
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,5,72b77703bba2f71c,False,6.925979801821777,1481.820767861317,-0.28225806451612906,6.770896936374542,1905.7958260844514,-0.28225806451612906,-0.15508286544723493,423.9750582231343,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,6,3ba76f66ba8fbcc3,False,6.957419619319288,1476.6765051013667,-0.16129032258064516,6.762755129787318,1877.756720645652,-0.24193548387096775,-0.19466448953197002,401.08021554428524,-0.08064516129032259
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,7,656e6c66558a6b26,False,6.970280341067012,1473.287941005166,-0.1282051282051282,6.773533906523888,1876.6271992802517,-0.21367521367521367,-0.19674643454312335,403.33925827508574,-0.08547008547008547
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,8,4bb5cd5086b1a2f1,False,7.1754849956214795,1008.6780196162929,-0.12096774193548387,6.97350062374059,1866.8995229026482,-0.08064516129032258,-0.20198437188088914,858.2215032863553,0.040322580645161296
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,9,ad316931e7926ee3,False,7.187094530406259,1001.9046928767319,-0.042735042735042736,6.944844794472122,1841.643126274274,-0.17094017094017094,-0.2422497359341369,839.738433397542,-0.1282051282051282
transition,0.0016781874534517343,S025,102,1070000,0,PR0_HT1_EC1,10,36e6ed63c47e90d1,False,7.299694189603029,497.23063206382767,-0.0,7.299694189603029,497.23063206382767,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,0,f8f445298b19c215,False,3.8955387140397315,3973.8086358110254,-0.8977095516567817,4.41475627668421,4308.805944621714,-0.8755301794452233,0.5192175626444788,334.99730881068854,0.022179372211558412
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,1,5739e6a4f96f9e90,False,3.8416230724186136,3829.589963642787,-0.8950385356453656,4.390306411130979,4094.129388269757,-0.8755301794452158,0.5486833387123653,264.5394246269698,0.01950835620014979
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,2,23269c5aa98a08a6,False,4.721005461811413,3403.5760776553984,-0.8755301794452158,5.184052788449702,3366.2622758380558,-0.7661290322580645,0.4630473266382893,-37.313801817342664,0.10940114718715133
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,3,5d0aa9318c44eb59,False,5.721517584140953,3182.4975390530453,-0.6629834254143646,6.2160134396678774,2915.286347402637,-0.4972375690607735,0.49449585552692454,-267.2111916504082,0.16574585635359113
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,4,6fb8966c6bcdbb5d,False,5.649416910223626,3022.898246126714,-0.6451612903225806,6.259273794908312,2879.73606722791,-0.4032258064516129,0.6098568846846861,-143.1621788988041,0.24193548387096775
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,5,c5c638d5c3d9a663,False,6.212938811562757,2421.42530897767,-0.4838709677419355,6.579577978045817,2281.394366073197,-0.3225806451612903,0.3666391664830604,-140.0309429044728,0.16129032258064518
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,6,3da07a52fb207450,False,6.550311645636121,2026.3730795517795,-0.4435483870967742,6.770896936374542,1905.7958260844514,-0.28225806451612906,0.2205852907384207,-120.57725346732809,0.16129032258064513
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,7,dc437494256d5eb6,False,6.27778982751454,2407.274249748641,-0.4435483870967742,6.509870318094218,2273.5170909695184,-0.3629032258064516,0.23208049057967806,-133.75715877912262,0.08064516129032256
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,8,c159294d4f9256a6,False,6.656859456773069,2005.117081355888,-0.3225806451612903,6.97350062374059,1866.8995229026482,-0.08064516129032258,0.3166411669675213,-138.21755845323992,0.24193548387096775
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,9,2948d6c5e756be7b,False,6.642930166438765,2011.5664685702777,-0.29914529914529914,6.773533906523888,1876.6271992802517,-0.21367521367521367,0.13060374008512365,-134.939269290026,0.08547008547008547
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,10,598501af70f1fd8a,False,7.0105582512702895,1510.426452665662,-0.16574585635359115,7.064883632643514,1577.2605149828419,-0.16574585635359115,0.05432538137322407,66.83406231717981,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,11,6e1e15960c8fcc82,False,7.011068519864057,1506.2993506358862,-0.16574585635359115,7.078000500157281,1562.0952327438893,-0.08287292817679558,0.06693198029322378,55.79588210800307,0.08287292817679558
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,12,7ed4ed42bd7131a3,False,6.983709717575535,1498.7167095164098,-0.16129032258064516,7.060946263450385,1599.199123961355,-0.12096774193548387,0.0772365458748494,100.48241444494533,0.04032258064516128
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,13,325e852c20eba4de,False,7.017812924375912,1484.3607416573727,-0.15706806282722513,7.06257565256637,1599.199123961355,-0.15706806282722513,0.04476272819045768,114.83838230398237,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,14,fbf6aa8fa4067967,False,7.006388087290334,1493.6022766017793,-0.1282051282051282,7.056556000361754,1569.6778738633654,-0.1282051282051282,0.050167913071419434,76.07559726158615,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,15,edd5f397c069504b,False,7.1754849956214795,1034.9632238239615,-0.12096774193548387,7.235980720618634,919.9861425546703,-0.0,0.06049572499715428,-114.97708126929115,0.12096774193548387
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,16,845b0617d6f7862e,False,7.299694189603029,497.23063206382767,-0.0,7.299694189603029,497.23063206382767,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,17,c1036326d9f0f9e4,False,7.207630364956373,889.1321476530252,-0.0,7.273481869812727,782.7585425602294,-0.0,0.06585150485635438,-106.37360509279574,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT0_EC1,18,573b49a75dbfa7a9,False,7.196662240933181,937.6254709003279,-0.0,7.274679169901102,748.6272351356249,-0.0,0.07801692896792112,-188.99823576470294,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,0,fc50ce85bcabe4b2,False,4.215202153176456,4210.121476932916,-0.8755301794452136,4.215202153176456,4210.121476932916,-0.8755301794452136,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,1,0d9d3152bdf41867,False,4.211523217373897,4285.524384253617,-0.8755301794451508,4.211523217373897,4285.524384253617,-0.8755301794451508,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,2,d5e2eb940881c856,False,4.328848892747315,4071.847026242334,-0.875530179445167,4.328848892747315,4071.847026242334,-0.875530179445167,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,3,bb6023e24f046608,False,4.242581553045056,4080.301270960677,-0.8755301794452139,4.242581553045056,4080.301270960677,-0.8755301794452139,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,4,ce45fa4c6daf552d,False,5.190415718365358,3445.4862932207698,-0.7853403141361257,5.190415718365358,3445.4862932207698,-0.7853403141361257,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,5,49f4df3ec843c65e,False,5.184052788449702,3368.1875074483582,-0.7661290322580645,5.184052788449702,3368.1875074483582,-0.7661290322580645,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,6,ec778c6af82bbd24,False,5.216153165520179,3359.6840550463307,-0.6837606837606838,5.216153165520179,3359.6840550463307,-0.6837606837606838,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,7,81e95628efeb39b4,False,5.2798583583346925,3325.3417910280573,-0.6451612903225806,5.2798583583346925,3325.3417910280573,-0.6451612903225806,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,8,dd109b2a5901c795,False,5.264158824522969,3356.2954909501304,-0.6451612903225806,5.264158824522969,3356.2954909501304,-0.6451612903225806,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,9,cf38b59c081b1f78,False,5.2761100844332045,3327.600833758858,-0.6410256410256411,5.2761100844332045,3327.600833758858,-0.6410256410256411,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,10,7d71bc1c6588a0fd,False,5.8403151566972875,3226.055394651502,-0.6282722513089005,5.8403151566972875,3226.055394651502,-0.6282722513089005,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,11,9d6a84ced497b179,False,5.834563059641514,3139.9195874972784,-0.6048387096774194,5.834563059641514,3139.9195874972784,-0.6048387096774194,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC0,12,db8de39b36f5d060,False,5.903889914936996,3139.38988435757,-0.5759162303664922,5.903889914936996,3141.2501957733894,-0.5759162303664922,0.0,1.860311415819524,0.0
