topology_cell,topology_description,scenario,case_id,instance_seed,decision,graph_bridge_count,damaged_bridge_count,bridge_gated_demand_count,F1,F2,F3,PR_allocations_changed,PR_same_decision_changed,PR_delta_F1,PR_delta_F2,HT_allocations_changed,HT_same_decision_changed,HT_delta_F1,HT_delta_F2,EC_allocations_changed,EC_same_decision_changed,EC_delta_F1,EC_delta_F2,max_edge_utilization,partial_edge_periods,partial_edge_used_periods,threshold_sensitive_od_periods
fourcell_corridor,explicit corridor topology,corridor,S025,2,spt,3,1,4,6.620772946861056,536.3550031105799,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.010665005453934567,5,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,2,random_0,3,1,4,6.620772946861056,536.3550031105799,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.010665005453934567,6,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,2,random_1,3,1,4,6.497100305554481,1810.0768255412158,-0.0,2,True,0.11504600224509254,-1331.1032202889667,2,True,-0.2795846054026967,781.2367171140095,0,False,0.0,0.0,0.06175017167838731,5,2,8
fourcell_corridor,explicit corridor topology,corridor,S025,2,random_2,3,1,4,6.413081991739138,1617.7878158768306,-0.0,3,True,0.1990643160604355,-1138.8142106245814,3,True,-0.5491752576250173,1843.587197258342,0,False,0.0,0.0,0.030875085839193656,5,3,12
fourcell_corridor,explicit corridor topology,corridor,S025,2,random_3,3,1,4,4.750299938037214,4204.808040175258,-0.847457627118644,7,True,1.4958714491517187,-2604.027019598865,7,True,-1.2648658034940432,193.2959171747816,0,False,0.0,0.0,0.0454045379988142,6,5,16
fourcell_corridor,explicit corridor topology,corridor,S025,101,spt,1,1,4,6.904635258359354,704.0078882202506,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.010142019296395539,4,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,101,random_0,1,1,4,6.916033434651318,727.6778621962951,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.010922174626887503,5,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,101,random_1,1,1,4,6.298305933386611,3375.648982676152,-0.16666666666666666,4,True,0.6177275012647074,-2647.971120479857,4,True,-0.7162702783935542,1206.5759556525459,0,False,0.0,0.0,0.049958332996191686,7,4,12
fourcell_corridor,explicit corridor topology,corridor,S025,101,random_2,1,1,4,6.904635258359354,704.0078882202506,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.010142019296395539,6,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,101,random_3,1,1,4,6.581879041416985,2547.846343871219,-0.09146341463414634,3,True,0.322756216942369,-1843.8384556509682,3,True,-0.4599660361456168,1089.9885486420299,0,False,0.0,0.0,0.049958332996191686,5,3,12
fourcell_corridor,explicit corridor topology,corridor,S025,102,spt,1,1,4,6.553482267747783,2453.77652327489,-0.3867403314917127,4,True,0.43236171420003533,-816.8208340637275,4,True,-0.3396486618518697,461.5046083974762,0,False,0.0,0.0,0.03061035542690855,5,2,4
fourcell_corridor,explicit corridor topology,corridor,S025,102,random_0,1,1,4,7.273481869812727,831.8635855880774,-0.0,1,True,0.02621231979030192,-334.63295352424973,1,True,-0.09144379424367255,397.2330668685987,0,False,0.0,0.0,0.01734586807524818,5,1,4
fourcell_corridor,explicit corridor topology,corridor,S025,102,random_1,1,1,4,4.31582237716901,4419.50086818905,-0.8755301794451508,8,True,0.7477997920919872,-617.4941337434038,8,True,-0.12465260195041239,362.5623173605454,0,False,0.0,0.0,0.03061035542690855,5,2,8
fourcell_corridor,explicit corridor topology,corridor,S025,102,random_2,1,1,4,7.299694189603029,497.23063206382767,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.01734586807524818,6,0,0
fourcell_corridor,explicit corridor topology,corridor,S025,102,random_3,1,1,4,7.299694189603029,497.23063206382767,-0.0,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.01734586807524818,6,0,0
