run_key,solution_id,physical_instance_hash,planning_model,planning_model_fingerprint,execution_model,execution_model_fingerprint,instance_seed,solver_seed,algorithm,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3,replay_final_total_satisfaction,replay_final_min_satisfaction,replay_zero_service_ratio,replay_remaining_supply,representative_selected_before_replay,replay_success,replay_error
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0021,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,d64c03682e7dea5b,3.8527727372852256,3357.564630242161,-0.899999999999794,3.8527727372852256,3357.564630242161,-0.899999999999794,0.0,0.0,0.0,0.8999999999997941,0.899999999999794,0.0,2.332782855773985e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0022,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,a014424cce11427a,3.820253964737538,3176.9229332174054,-0.8999999999997499,3.820253964737538,3176.9229332174054,-0.8999999999997499,0.0,0.0,0.0,0.8999999999997499,0.8999999999997499,0.0,2.8329338874755194e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0023,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,5d89dd472f95f927,3.893569266139737,3163.411107022911,-0.8999999999996224,3.893569266139737,3163.411107022911,-0.8999999999996224,0.0,0.0,0.0,0.8999999999996225,0.8999999999996224,0.0,4.2746250983327627e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0024,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,caa91f1a85258024,3.9096835398687766,3107.0959974500065,-0.8999999999996001,3.9096835398687766,3107.0959974500065,-0.8999999999996001,0.0,0.0,0.0,0.8999999999996002,0.8999999999996001,0.0,4.5275783122633584e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0001,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,65a963d0b5a1c36a,4.323837164030483,3780.4318118489027,-0.8999999999999966,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.0,0.0,0.0,0.8999999999999967,0.8999999999999966,0.0,4.021671884402167e-12,True,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0002,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,4f53f64f02be8e74,4.019004161547176,3557.9228737572253,-0.8999999999999925,4.019004161547176,3557.9228737572253,-0.8999999999999925,0.0,0.0,0.0,0.8999999999999926,0.8999999999999925,0.0,8.611777957412414e-12,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0003,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,d16d9aa7cb5153cf,4.019004161547176,3557.9228737572253,-0.8999999999999925,4.019004161547176,3557.9228737572253,-0.8999999999999925,0.0,0.0,0.0,0.8999999999999926,0.8999999999999925,0.0,8.611777957412414e-12,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0004,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,c38ccfd2afd01503,3.9749180462978853,3609.887505287882,-0.8999999999999925,3.9749180462978853,3609.887505287882,-0.8999999999999925,0.0,0.0,0.0,0.8999999999999926,0.8999999999999925,0.0,8.640199666842818e-12,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0005,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,fde6db8da2d8052c,3.881398006394529,3458.7468438589895,-0.8999999999999714,3.881398006394529,3458.7468438589895,-0.8999999999999714,0.0,0.0,0.0,0.8999999999999715,0.8999999999999714,0.0,3.2443381314806174e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0006,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,285a2362d3b7b046f356f1371ab56c07908ab8d0daa6af6c903354385feaeafb,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,e359dd36a3febcae,3.876965824344959,3350.172220333017,-0.8999999999999586,3.876965824344959,3350.172220333017,-0.8999999999999586,0.0,0.0,0.0,0.8999999999999587,0.8999999999999586,0.0,4.6995296543173026e-11,False,True,
