decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
random_1,4,11,26,34,1.0,4,1|2|3|4,False
random_1,4,12,28,29,0.0,0,,False
random_1,4,13,33,34,1.0,4,1|2|3|4,False
random_1,4,14,34,35,0.8666666666666667,4,1|2|3|4,False
random_1,4,15,36,37,1.0,4,1|2|3|4,False
random_1,5,0,1,17,0.5,2,1|2,True
random_1,5,1,4,5,1.0,4,1|2|3|4,False
random_1,5,2,11,12,1.0,4,1|2|3|4,False
random_1,5,3,11,18,1.0,4,1|2|3|4,False
random_1,5,4,13,14,1.0,4,1|2|3|4,False
random_1,5,5,17,19,0.0,0,,False
random_1,5,6,17,22,1.0,4,1|2|3|4,False
random_1,5,7,18,25,0.0,0,,False
random_1,5,8,22,24,1.0,4,1|2|3|4,False
random_1,5,9,24,30,1.0,4,1|2|3|4,False
random_1,5,10,26,28,0.20833333333333334,0,,False
random_1,5,11,26,34,1.0,4,1|2|3|4,False
random_1,5,12,28,29,0.0,0,,False
random_1,5,13,33,34,1.0,4,1|2|3|4,False
random_1,5,14,34,35,1.0,4,1|2|3|4,False
random_1,5,15,36,37,1.0,4,1|2|3|4,False
random_1,6,0,1,17,1.0,4,1|2|3|4,False
random_1,6,1,4,5,1.0,4,1|2|3|4,False
random_1,6,2,11,12,1.0,4,1|2|3|4,False
random_1,6,3,11,18,1.0,4,1|2|3|4,False
random_1,6,4,13,14,1.0,4,1|2|3|4,False
random_1,6,5,17,19,0.0,0,,False
random_1,6,6,17,22,1.0,4,1|2|3|4,False
random_1,6,7,18,25,0.0,0,,False
random_1,6,8,22,24,1.0,4,1|2|3|4,False
random_1,6,9,24,30,1.0,4,1|2|3|4,False
random_1,6,10,26,28,0.875,4,1|2|3|4,False
random_1,6,11,26,34,1.0,4,1|2|3|4,False
random_1,6,12,28,29,0.08333333333333333,0,,False
random_1,6,13,33,34,1.0,4,1|2|3|4,False
random_1,6,14,34,35,1.0,4,1|2|3|4,False
random_1,6,15,36,37,1.0,4,1|2|3|4,False
random_1,7,0,1,17,1.0,4,1|2|3|4,False
random_1,7,1,4,5,1.0,4,1|2|3|4,False
